x,y
90.9263, 4.92173
90.9299, 4.91767
90.9335, 4.9136
90.9371, 4.90953
90.9407, 4.90546
90.9443, 4.90139
90.9479, 4.89732
90.9515, 4.89325
90.9551, 4.88919
90.9587, 4.88512
90.9623, 4.88105
90.9659, 4.87698
90.9695, 4.87291
90.9731, 4.86884
90.9767, 4.86477
90.9803, 4.86071
90.9839, 4.85664
90.9875, 4.85257
90.9911, 4.8485
90.9947, 4.84443
90.9983, 4.84036
91.0019, 4.83629
91.0055, 4.83222
91.0091, 4.82816
91.0126, 4.82409
91.0162, 4.82002
91.0198, 4.81595
91.0234, 4.81188
91.027, 4.80781
91.0306, 4.80374
91.0342, 4.79968
91.0378, 4.79561
91.0414, 4.79154
91.045, 4.78747
91.0486, 4.7834
91.0522, 4.77933
91.0558, 4.77526
91.0594, 4.7712
91.063, 4.76713
91.0666, 4.76306
91.0702, 4.75899
91.0738, 4.75492
91.0774, 4.75085
91.081, 4.74678
91.0846, 4.74271
91.0882, 4.73865
91.0918, 4.73458
91.0954, 4.73051
91.099, 4.72644
91.1026, 4.72237
91.1062, 4.7183
91.1098, 4.71423
91.1134, 4.71016
91.117, 4.70609
91.1206, 4.70203
91.1242, 4.69796
91.1278, 4.69389
91.1314, 4.68982
91.135, 4.68575
91.1386, 4.68168
91.1422, 4.67761
91.1458, 4.67354
91.1494, 4.66947
91.153, 4.66541
91.1566, 4.66134
91.1602, 4.65727
91.1638, 4.6532
91.1674, 4.64913
91.171, 4.64506
91.1746, 4.64099
91.1782, 4.63692
91.1817, 4.63285
91.1853, 4.62878
91.1889, 4.62472
91.1925, 4.62065
91.1961, 4.61658
91.1997, 4.61251
91.2033, 4.60844
91.2069, 4.60437
91.2105, 4.6003
91.2141, 4.59623
91.2177, 4.59216
91.2213, 4.58809
91.2249, 4.58402
91.2285, 4.57995
91.2321, 4.57589
91.2357, 4.57182
91.2393, 4.56775
91.2429, 4.56368
91.2465, 4.55961
91.2501, 4.55554
91.2537, 4.55147
91.2573, 4.5474
91.2609, 4.54333
91.2645, 4.53926
91.2681, 4.53519
91.2717, 4.53112
91.2753, 4.52705
91.2789, 4.52298
91.2825, 4.51891
91.2861, 4.51484
91.2897, 4.51077
91.2933, 4.5067
91.2969, 4.50263
91.3005, 4.49857
91.3041, 4.4945
91.3077, 4.49043
91.3113, 4.48636
91.3148, 4.48229
91.3184, 4.47822
91.322, 4.47415
91.3256, 4.47008
91.3292, 4.46601
91.3328, 4.46194
91.3364, 4.45787
91.34, 4.4538
91.3436, 4.44973
91.3472, 4.44566
91.3508, 4.44159
91.3544, 4.43752
91.358, 4.43345
91.3616, 4.42938
91.3652, 4.42531
91.3688, 4.42124
91.3724, 4.41717
91.376, 4.4131
91.3796, 4.40903
91.3832, 4.40496
91.3868, 4.40089
91.3904, 4.39682
91.394, 4.39275
91.3976, 4.38868
91.4012, 4.38461
91.4048, 4.38053
91.4084, 4.37646
91.412, 4.37239
91.4156, 4.36832
91.4191, 4.36425
91.4227, 4.36018
91.4263, 4.35611
91.4299, 4.35204
91.4335, 4.34797
91.4371, 4.3439
91.4407, 4.33983
91.4443, 4.33576
91.4479, 4.33169
91.4515, 4.32762
91.4551, 4.32355
91.4587, 4.31948
91.4623, 4.31541
91.4659, 4.31133
91.4695, 4.30726
91.4731, 4.30319
91.4767, 4.29912
91.4803, 4.29505
91.4839, 4.29098
91.4875, 4.28691
91.4911, 4.28284
91.4947, 4.27877
91.4983, 4.2747
91.5019, 4.27062
91.5054, 4.26655
91.509, 4.26248
91.5126, 4.25841
91.5162, 4.25434
91.5198, 4.25027
91.5234, 4.2462
91.527, 4.24213
91.5306, 4.23805
91.5342, 4.23398
91.5378, 4.22991
91.5414, 4.22584
91.545, 4.22177
91.5486, 4.2177
91.5522, 4.21362
91.5558, 4.20955
91.5594, 4.20548
91.563, 4.20141
91.5666, 4.19734
91.5702, 4.19327
91.5738, 4.18919
91.5774, 4.18512
91.5809, 4.18105
91.5845, 4.17698
91.5881, 4.17291
91.5917, 4.16883
91.5953, 4.16476
91.5989, 4.16069
91.6025, 4.15662
91.6061, 4.15255
91.6097, 4.14847
91.6133, 4.1444
91.6169, 4.14033
91.6205, 4.13626
91.6241, 4.13218
91.6277, 4.12811
91.6313, 4.12404
91.6349, 4.11997
91.6385, 4.11589
91.6421, 4.11182
91.6456, 4.10775
91.6492, 4.10368
91.6528, 4.0996
91.6564, 4.09553
91.66, 4.09146
91.6636, 4.08739
91.6672, 4.08331
91.6708, 4.07924
91.6744, 4.07517
