x,y
79.7866, 5.83963
80.7953, 6.33678
81.804, 6.83394
82.8127, 7.3311
83.8214, 7.82825
84.8301, 8.32541
85.8388, 8.82257
86.8475, 9.31972
87.8562, 9.81688
88.8649, 10.314
89.8736, 10.8112
90.4477, 10.1944
91.0402, 9.59511
91.6509, 9.01437
92.2798, 8.45356
92.9274, 7.91428
93.5938, 7.39847
94.2793, 6.90845
94.9844, 6.44695
95.7091, 6.0171
96.4538, 5.62258
97.218, 5.26763
98.0012, 4.95696
98.8023, 4.69579
99.6193, 4.48976
100.449, 4.34453
101.288, 4.26552
102.13, 4.25721
102.971, 4.31948
103.803, 4.44748
104.625, 4.6362
105.431, 4.88091
106.22, 5.17739
106.989, 5.52201
107.736, 5.91163
108.459, 6.34365
109.157, 6.81601
109.827, 7.32708
110.467, 7.87555
111.073, 8.46053
111.643, 9.08139
112.446, 9.0492
113.25, 9.017
114.054, 8.98481
114.858, 8.95261
115.661, 8.92042
116.465, 8.88822
117.269, 8.85602
118.072, 8.82383
118.876, 8.79163
119.68, 8.75944
119.68, -8.75944
118.889, -8.61056
118.099, -8.46169
117.308, -8.31281
116.518, -8.16394
115.728, -8.01506
114.937, -7.86619
114.147, -7.71731
113.356, -7.56844
112.566, -7.41957
111.775, -7.27069
111.121, -7.80194
110.436, -8.2924
109.723, -8.74191
108.986, -9.14996
108.227, -9.5157
107.448, -9.83781
106.652, -10.1145
105.842, -10.3435
105.018, -10.522
104.185, -10.6467
103.345, -10.7138
102.502, -10.7192
101.662, -10.6585
100.83, -10.5276
100.011, -10.3273
99.2115, -10.0628
98.4332, -9.73999
97.6786, -9.36499
96.949, -8.94359
96.2445, -8.48112
95.5653, -7.98242
94.9109, -7.45163
94.2805, -6.89236
93.6736, -6.30775
93.0894, -5.70043
92.5273, -5.0726
91.9867, -4.42617
91.4671, -3.76273
90.9682, -3.08356
90.4899, -2.38971
89.4196, -2.7347
88.3493, -3.07969
87.2789, -3.42469
86.2086, -3.76968
85.1383, -4.11467
84.0679, -4.45966
82.9976, -4.80465
81.9273, -5.14964
80.8569, -5.49463
79.7866, -5.83963
