x,y
119.68, -8.75944
118.889, -8.61056
118.099, -8.46169
117.308, -8.31281
116.518, -8.16394
115.728, -8.01506
114.937, -7.86619
114.147, -7.71731
113.356, -7.56844
112.566, -7.41957
111.775, -7.27069
111.121, -7.80194
110.436, -8.2924
109.723, -8.74191
108.986, -9.14996
108.227, -9.5157
107.448, -9.83781
106.652, -10.1145
105.842, -10.3435
105.018, -10.522
104.185, -10.6467
103.345, -10.7138
102.502, -10.7192
101.662, -10.6585
100.83, -10.5276
100.011, -10.3273
99.2115, -10.0628
98.4332, -9.73999
97.6786, -9.36499
96.949, -8.94359
96.2445, -8.48112
95.5653, -7.98242
94.9109, -7.45163
94.2805, -6.89236
93.6736, -6.30775
93.0894, -5.70043
92.5273, -5.0726
91.9867, -4.42617
91.4671, -3.76273
90.9682, -3.08356
90.4899, -2.38971
89.4196, -2.7347
88.3493, -3.07969
87.2789, -3.42469
86.2086, -3.76968
85.1383, -4.11467
84.0679, -4.45966
82.9976, -4.80465
81.9273, -5.14964
80.8569, -5.49463
79.7866, -5.83963
