x,y
0.199464, 0.0111162
0.199334, 0.0110475
0.199222, 0.0109535
0.199132, 0.0108381
0.199068, 0.0107066
0.199033, 0.0105646
0.199028, 0.0104184
0.199053, 0.0102742
0.199108, 0.0101386
0.19919, 0.0100172
0.199295, 0.00991558
0.199419, 0.00983804
0.199557, 0.00978798
0.199701, 0.00976762
0.201856, 0.0100997
0.203892, 0.0104246
0.205952, 0.01075
0.208035, 0.0110732
0.210138, 0.0113916
0.212259, 0.0117026
0.214395, 0.0120036
0.216545, 0.012292
0.218707, 0.012565
0.220877, 0.0128203
0.223055, 0.013055
0.225236, 0.0132666
0.227421, 0.0134525
0.229605, 0.0136101
0.231787, 0.0137367
0.233964, 0.0138297
0.236135, 0.0138865
0.238297, 0.0139045
0.240448, 0.013881
0.242586, 0.0138136
0.244707, 0.0136994
0.246811, 0.013536
0.248895, 0.0133206
0.250957, 0.0130508
0.252994, 0.0127238
0.255004, 0.012337
0.256985, 0.0118879
0.258935, 0.0113738
0.260851, 0.0107921
0.262731, 0.0101402
0.264573, 0.00941538
0.266375, 0.00861514
0.268135, 0.00773682
0.26985, 0.00677781
0.271518, 0.00573548
0.273136, 0.00460722
0.274703, 0.00339042
0.276216, 0.00208245
0.27767, 0.000682402
0.27923, -0.000985013
0.279452, -0.00112349
0.279698, -0.00121287
0.279956, -0.00124924
0.280217, -0.00123101
0.280468, -0.00115898
0.280699, -0.0010363
0.280899, -0.000868323
0.28106, -0.000662399
0.281175, -0.000427525
0.281238, -0.000173966
0.281247, 8.71956e-05
0.281202, 0.000344547
0.281104, 0.000586839
0.279747, 0.00250608
0.278613, 0.00424813
0.277403, 0.00588346
0.276099, 0.00739328
0.274705, 0.0087815
0.273224, 0.010052
0.271661, 0.0112088
0.270019, 0.0122557
0.268302, 0.0131966
0.266515, 0.0140355
0.264661, 0.0147762
0.262744, 0.0154228
0.260768, 0.015979
0.258738, 0.0164489
0.256656, 0.0168362
0.254528, 0.017145
0.252356, 0.0173791
0.250145, 0.0175425
0.2479, 0.0176391
0.245623, 0.0176727
0.243318, 0.0176474
0.240991, 0.0175669
0.238644, 0.0174352
0.236281, 0.0172563
0.233907, 0.017034
0.231526, 0.0167723
0.229141, 0.016475
0.226756, 0.0161461
0.224376, 0.0157895
0.222004, 0.0154091
0.219644, 0.0150088
0.2173, 0.0145925
0.214976, 0.0141642
0.212676, 0.0137277
0.210405, 0.0132869
0.208165, 0.0128459
0.205961, 0.0124084
0.203797, 0.0119784
0.201677, 0.0115598
0.199464, 0.0111162
